游戏名,开发者,平台,热度,展示估值,本周人气,投放天数,图片URL,视频URL
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,999,1012531,0,306,https://sp.dataideaglobal.com/sp_opera/7f862e32848630ffa8f55dd471a5ae12.jpg,https://sp.dataideaglobal.com/sp_opera/3d9986eac248ec45b198018a298a4c4a.mp4
Ball Sort Puzzle: Color Bubble,Topsmart Mobile Ltd.,audience_network,90,335596,0,23,https://sp.dataideaglobal.com/sp_opera/ffb2592d475eaef0da9a9197a69ef0d2.jpg,https://sp.dataideaglobal.com/sp_opera/71f8dd2c09940b8a7ea6fc2ab7ac7f5f.mp4
Pocket Chess,Lessmore UG (haftungsbeschränkt),audience_network,998,404727,0,230,https://sp.dataideaglobal.com/sp_opera/9c0691bde0eda517b499aceaf654e2d2.jpg,https://sp.dataideaglobal.com/sp_opera/e0ef7e2e16d718fe6b306b6d2169aa59.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,940,950849,0,140,https://sp.dataideaglobal.com/sp_opera/2cf709f42bdfdee35a8f407d327a0b36.jpg,https://sp.dataideaglobal.com/sp_opera/c2906f19c5220bc0c39b246df254b5ca.mp4
Water Match™- ASMR Water Sort,TAP GAMES,audience_network,78,460509,51282,14,https://sp.dataideaglobal.com/sp_opera/621bce5ed21943205f762db0ae8b3bda.jpg,https://sp.dataideaglobal.com/sp_opera/0a74f1ea10c19242b2a41757ad67072b.mp4
Brain Test All-Star: IQ Boost,Unico Studio,audience_network,984,1056457,0,173,https://sp.dataideaglobal.com/sp_opera/80345e234e626730c6bd6fbaf65e96da.jpg,https://sp.dataideaglobal.com/sp_opera/acf1c4ef86767fa257f4bf29e2d188f8.mp4
Happy Color®: Color by Number,X-FLOW,instagram,699,372218,74003,96,https://sp.dataideaglobal.com/sp_opera/6af5a0fc2597d2a96240c77a8daf513e.jpg,https://sp.dataideaglobal.com/sp_opera/26d0951a54a82e7769e5ddae955df52f.mp4
Cryptogram: Word Logic Puzzles,Gismart,audience_network,652,870086,578644,92,https://sp.dataideaglobal.com/sp_opera/f3d7bbe6ce7fa157fda32014530aeb3b.jpg,https://sp.dataideaglobal.com/sp_opera/56e36c8ed144af7f8ca3643f67deb56b.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,96,406515,58156,20,https://sp.dataideaglobal.com/sp_opera/23afd6b03ea0a09f0faa260e0ded2237.jpg,https://sp.dataideaglobal.com/sp_opera/a869d40d66d337c306ea0daf47c28f9a.mp4
Color by Number：Coloring Games,Wildlife Studios,youtube,1000,285951,0,10,https://sp.dataideaglobal.com/sp_opera/5132485381cd4ba9cc89b2dac15352c8.jpg,https://sp.dataideaglobal.com/sp_opera/4300c234de1df6e7c3750f3dbf88d9cb.mp4
Hole Stars: Puzzle Game,Moon Active,audience_network,57,905425,651745,6,https://sp.dataideaglobal.com/sp_opera/eec778007e4aeed095dc91083b896c2d.jpg,https://sp.dataideaglobal.com/sp_opera/0c2765a31b18c4f80069f142dad20044.mp4
Happy Color®: Color by Number,X-FLOW,audience_network,128,1134981,79335,27,https://sp.dataideaglobal.com/sp_opera/357554201377bde068a76989f7d905c1.jpg,https://sp.dataideaglobal.com/sp_opera/b3672509a7be0483272a93ba99778af0.mp4
